time,wind_speed,wind_direction,stability_class,number,latitude,longitude,expver
2024-01-13 12:00:00,8.293748,257.77634,D,0,55.58,13.01,0001
2024-01-13 13:00:00,8.899325,266.56445,D,0,55.58,13.01,0001
2024-01-13 14:00:00,9.083199,272.81265,D,0,55.58,13.01,0001
2024-01-13 15:00:00,9.12274,275.6756,D,0,55.58,13.01,0001
2024-01-13 16:00:00,8.857266,279.27838,D,0,55.58,13.01,0001
2024-01-13 17:00:00,8.521184,283.18195,D,0,55.58,13.01,0001
2024-01-13 18:00:00,8.12872,285.30014,D,0,55.58,13.01,0001
2024-01-13 19:00:00,7.7607446,284.5011,D,0,55.58,13.01,0001
2024-01-13 20:00:00,7.5544863,283.8656,D,0,55.58,13.01,0001
2024-01-13 21:00:00,7.352514,285.99512,D,0,55.58,13.01,0001
2024-01-13 22:00:00,6.984656,290.30728,D,0,55.58,13.01,0001
2024-01-13 23:00:00,6.7473774,290.5241,D,0,55.58,13.01,0001
2024-01-14 00:00:00,6.122381,294.0976,D,0,55.58,13.01,0001
2024-01-14 01:00:00,5.5913577,293.23422,D,0,55.58,13.01,0001
2024-01-14 02:00:00,5.528739,289.65622,D,0,55.58,13.01,0001
2024-01-14 03:00:00,5.491431,289.3728,D,0,55.58,13.01,0001
2024-01-14 04:00:00,5.323124,289.3894,D,0,55.58,13.01,0001
2024-01-14 05:00:00,5.162549,286.8977,D,0,55.58,13.01,0001
2024-01-14 06:00:00,4.895754,283.72238,D,0,55.58,13.01,0001
2024-01-14 07:00:00,4.4065857,278.53845,D,0,55.58,13.01,0001
2024-01-14 08:00:00,4.508359,270.42636,D,0,55.58,13.01,0001
2024-01-14 09:00:00,5.09469,270.35312,D,0,55.58,13.01,0001
2024-01-14 10:00:00,5.0913715,267.40796,D,0,55.58,13.01,0001
2024-01-14 11:00:00,5.1914673,269.12906,D,0,55.58,13.01,0001
2024-01-14 12:00:00,5.795108,273.5682,D,0,55.58,13.01,0001
2024-01-14 13:00:00,6.2313,272.56204,D,0,55.58,13.01,0001
2024-01-14 14:00:00,6.1025996,268.23303,D,0,55.58,13.01,0001
2024-01-14 15:00:00,6.1098776,260.0376,D,0,55.58,13.01,0001
2024-01-14 16:00:00,6.236617,255.98602,D,0,55.58,13.01,0001
2024-01-14 17:00:00,6.2637863,254.20178,D,0,55.58,13.01,0001
2024-01-14 18:00:00,6.3119745,248.69922,D,0,55.58,13.01,0001
2024-01-14 19:00:00,6.732371,249.50633,D,0,55.58,13.01,0001
2024-01-14 20:00:00,6.676249,252.97565,D,0,55.58,13.01,0001
2024-01-14 21:00:00,6.3253965,254.4091,D,0,55.58,13.01,0001
2024-01-14 22:00:00,6.3157573,259.8588,D,0,55.58,13.01,0001
2024-01-14 23:00:00,5.875508,254.00156,D,0,55.58,13.01,0001
2024-01-15 00:00:00,5.6514907,241.41887,D,0,55.58,13.01,0001
2024-01-15 01:00:00,6.0597034,229.77261,D,0,55.58,13.01,0001
2024-01-15 02:00:00,6.291812,231.9808,D,0,55.58,13.01,0001
2024-01-15 03:00:00,6.0156064,267.85846,D,0,55.58,13.01,0001
2024-01-15 04:00:00,6.4182825,286.5871,D,0,55.58,13.01,0001
2024-01-15 05:00:00,7.277292,282.21402,D,0,55.58,13.01,0001
2024-01-15 06:00:00,7.8376775,281.84625,D,0,55.58,13.01,0001
2024-01-15 07:00:00,7.89221,288.4751,D,0,55.58,13.01,0001
2024-01-15 08:00:00,8.140022,301.1886,D,0,55.58,13.01,0001
2024-01-15 09:00:00,8.395724,316.64575,D,0,55.58,13.01,0001
2024-01-15 10:00:00,8.1346035,322.77255,D,0,55.58,13.01,0001
2024-01-15 11:00:00,8.319486,332.92157,D,0,55.58,13.01,0001
2024-01-15 12:00:00,7.7561126,339.13403,D,0,55.58,13.01,0001
2024-01-15 13:00:00,6.6250887,338.96747,D,0,55.58,13.01,0001
2024-01-15 14:00:00,5.5633373,333.65213,D,0,55.58,13.01,0001
2024-01-15 15:00:00,5.2745523,330.58878,D,0,55.58,13.01,0001
2024-01-15 16:00:00,5.0798807,335.78088,D,0,55.58,13.01,0001
2024-01-15 17:00:00,4.741161,338.73608,D,0,55.58,13.01,0001
2024-01-15 18:00:00,4.5876575,341.07886,D,0,55.58,13.01,0001
2024-01-15 19:00:00,4.1766686,347.5572,D,0,55.58,13.01,0001
2024-01-15 20:00:00,3.666967,352.58484,E,0,55.58,13.01,0001
2024-01-15 21:00:00,3.3809009,353.44797,E,0,55.58,13.01,0001
2024-01-15 22:00:00,2.809791,345.20914,F,0,55.58,13.01,0001
